 T. Lamptey,England,"RWB,RB",19,,,Brighton & Hove Albion,,,,
 C. Jones,England,"CM,CAM",19,,,Liverpool,,,,
 João Pedro,Brazil,"ST,LM",18,,,Watford,,,,
 M. Vandevoordt,Belgium,GK,18,,,KRC Genk,,,,
 M. Djenepo,Mali,"LM,RM",22,,,Southampton,,,,
 S. Esposito,Italy,ST,17,,,SPAL,,,,
 A. Urzi,Argentina,"LM,CM,RM",20,,,Club Atlético Banfield,,,,
 Y. Demir,Austria,"CAM,RW",17,,,SK Rapid Wien,,,,
 B. Williams,England,"LB,LWB",19,,,Manchester United,,,,
 Antony,Brazil,"RW,LW",20,,,Ajax,,,,
 Vinícius Jr.,Brazil,LW,19,,,Real Madrid,,,,
 Nuno Mendes,Portugal,"LWB,LM",18,,,Sporting CP,,,,
 A. Isak,Sweden,ST,20,,,Real Sociedad,,,,
 H. Aouar,France,"CM,LM",22,,,Olympique Lyonnais,,,,
 T. Hernández,France,LB,22,,,Milan,,,,
 Ferran Torres,Spain,"RW,LW,ST",20,,,Manchester City,,,,
 D. Zakaria,Switzerland,"CDM,CB",23,,,Borussia Mönchengladbach,,,,
 T. Kubo,Japan,"RM,CM,CF",19,,,Villarreal CF,,,,
 Z. Ibrahimović,Sweden,ST,38,,,Milan,,,,
 Bruno Guimarães,Brazil,"CM,CDM,CDM,CM,CDM,CM",22,,,Olympique Lyonnais,,,,
 M. Kudus,Ghana,"CAM,CM",19,,,Ajax,,,,
 A. Saint-Maximin,France,"LM,LW,ST",23,,,Newcastle United,,,,
 Cucurella,Spain,"LM,LB",21,,,Getafe CF,,,,
 S. Botman,Netherlands,CB,20,,,LOSC Lille,,,,
 J. Musiala,England,"CAM,LM",17,,,FC Bayern München,,,,
 Fábio Silva,Portugal,ST,17,,,Wolverhampton Wanderers,,,,
 D. Rice,England,"N/A,CB,CDM,CM,CB",21,,,West Ham United,,,,
 K. Dembélé,England,RM,17,,,Celtic,,,,
 B. Osayi-Samuel,Nigeria,"RM,LM",22,,,Queens Park Rangers,,,,
 Sergio Ramos,Spain,CB,34,,,Real Madrid,,,,
 Pedro Neto,Portugal,"LW,RW",20,,,Wolverhampton Wanderers,,,,
 C. Adams,England,ST,23,,,Southampton,,,,
 M. Salisu,Ghana,CB,21,,,Southampton,,,,
 Gustavo Assunção,Brazil,CDM,20,,,Famalicão,,,,
 R. Matondo,Wales,"LM,ST,RM",19,,,FC Schalke 04,,,,
 B. Gilmour,Scotland,"CM,CAM",19,,,Chelsea,,,,
 D. Calvert-Lewin,England,ST,23,,,Everton,,,,
 Joelson Fernandes,Portugal,"RW,LW",17,,,Sporting CP,,,,
 Rodrygo,Brazil,RW,19,,,Real Madrid,,,,
 T. Werner,Germany,"ST,LW",24,,,Chelsea,,,,
 M. Kean,Italy,ST,20,,,Paris Saint-Germain,,,,
 C. Eriksen,Denmark,"CAM,CM",28,,,Inter,,,,
 H. Kane,England,ST,26,,,Tottenham Hotspur,,,,
 L. Martínez,Argentina,ST,22,,,Inter,,,,
 W. McKennie,United States,"CM,CDM,CB",21,,,Juventus,,,,
 B. Kamara,France,"CDM,CB",20,,,Olympique de Marseille,,,,
 J. Bednarek,Poland,CB,24,,,Southampton,,,,
 C. Hudson-Odoi,England,"RW,LW",19,,,Chelsea,,,,
 M. Caqueret,France,"CM,CDM",20,,,Olympique Lyonnais,,,,
 K. De Bruyne,Belgium,"CM,CAM",29,,,Manchester City,,,,
 Rúben Dias,Portugal,CB,23,,,Manchester City,,,,
 A. Lunin,Ukraine,GK,21,,,Real Madrid,,,,
 R. James,England,"RB,CDM",20,,,Chelsea,,,,
 Renato Sanches,Portugal,"CM,RM,CDM",22,,,LOSC Lille,,,,
 E. Ampadu,Wales,"CB,CDM",19,,,Sheffield United,,,,
 Trincão,Portugal,"RW,LW,CAM",20,,,FC Barcelona,,,,
 J. Kimmich,Germany,"CDM,RB",25,,,FC Bayern München,,,,
 L. Netz,Germany,"LB,LM",17,,,Hertha BSC,,,,
 M. Depay,Netherlands,"CF,LW,CAM",26,,,Olympique Lyonnais,,,,
 M. Caicedo,Ecuador,"CM,CDM",18,,,Independiente del Valle,,,,
 F. de Jong,Netherlands,"CM,CDM",23,,,FC Barcelona,,,,
 D. Kulusevski,Sweden,"RW,CAM",20,,,Juventus,,,,
 A. Hakimi,Morocco,RM,21,,,Inter,,,,
 D. Zagadou,France,CB,21,,,Borussia Dortmund,,,,
 D. Malen,Netherlands,ST,21,,,PSV,,,,
 Eduardo Quaresma,Portugal,CB,18,,,Sporting CP,,,,
 J. Willock,England,"CAM,CM",20,,,Arsenal,,,,
 J. Draxler,Germany,"CAM,CM,LW",26,,,Paris Saint-Germain,,,,
 Rafael Leão,Portugal,"ST,LM",21,,,Milan,,,,
 R. Jones,England,"ST,CAM,LW",17,,,Peterborough United,,,,
 Marcos Antonio,Brazil,"CM,CDM",20,,,Shakhtar Donetsk,,,,
 M. de Ligt,Netherlands,CB,20,,,Juventus,,,,
 Evanilson,Brazil,ST,20,,,FC Porto,,,,
 F. Valverde,Uruguay,CM,21,,,Real Madrid,,,,
 M. Diaby,France,"LM,LW",20,,,Bayer 04 Leverkusen,,,,
 P. Pogba,France,"CM,CDM",27,,,Manchester United,,,,
 R. Lewandowski,Poland,ST,31,,,FC Bayern München,,,,
 I. Diallo,France,"CDM,CM",21,,,Southampton,,,,
 J. Vestergaard,Denmark,CB,27,,,Southampton,,,,
 A. Armstrong,England,"ST,LW,RW",23,,,Blackburn Rovers,,,,
 J. Hauge,Norway,"LW,LM,LM",20,,,Milan,,,,
 M. Mount,England,"CAM,CM,LW",21,,,Chelsea,,,,
 J. Zirkzee,Netherlands,"ST,CAM",19,,,FC Bayern München,,,,
 E. Nketiah,England,ST,21,,,Arsenal,,,,
 A. Milik,Poland,ST,26,,,Napoli,,,,
 D. van de Beek,Netherlands,"CM,CAM",23,,,Manchester United,,,,
 B. Arrey-Mbi,Germany,"CB,LB",17,,,Bayern München II,,,,
 M. Salah,Egypt,RW,28,,,Liverpool,,,,
 V. Osimhen,Nigeria,ST,21,,,Napoli,,,,
 L. Jović,Serbia,ST,22,,,Real Madrid,,,,
 E. Eze,England,"CAM,LM",22,,,Crystal Palace,,,,
 F. Tomori,England,CB,22,,,Chelsea,,,,
 K. Hoever,Netherlands,"RB,CB",18,,,Wolverhampton Wanderers,,,,
 L. Goretzka,Germany,"CM,CDM",25,,,FC Bayern München,,,,
 O. Dembélé,France,"RW,LW",23,,,FC Barcelona,,,,
 C. Pulisic,United States,"LW,RW,LM",21,,,Chelsea,,,,
 D. James,Wales,"RM,LM,CF",22,,,Manchester United,,,,
 Oyarzabal,Spain,"LW,RW",23,,,Real Sociedad,,,,
 D. Henderson,England,GK,23,,,Manchester United,,,,
 K. Laimer,Austria,"CDM,CM,RB",23,,,RB Leipzig,,,,
 N. Williams,Wales,RB,19,,,Liverpool,,,,
 A. Gómez,Argentina,"CAM,CF,ST",32,,,Atalanta,,,,
 O. Wijndal,Netherlands,LB,20,,,AZ Alkmaar,,,,
 C. Kouamé,Ivory Coast,"ST,CF",22,,,Fiorentina,,,,
 M. Edwards,England,RW,21,,,Vitória Guimarães,,,,
 P. De la Vega,Argentina,"RW,LW",19,,,Club Atlético Lanús,,,,
 S. Wamangituka,DR Congo,"RM,LM,ST",20,,,VfB Stuttgart,,,,
